fecha,riesgo_pais
2025-04-10,899.0
2025-04-11,874.0
2025-04-14,896.0
2025-04-15,725.0
2025-04-16,745.0
2025-04-17,745.0
2025-04-18,726.0
2025-04-21,720.0
2025-04-22,720.0
2025-04-23,720.0
2025-04-24,713.0
2025-04-25,692.0
2025-04-28,710.0
2025-04-29,701.0
2025-04-30,726.0
2025-05-01,735.0
2025-05-02,741.0
2025-05-05,741.0
2025-05-06,741.0
2025-05-07,766.0
2025-05-08,678.0
2025-05-09,678.0
2025-05-12,650.0
2025-05-13,651.0
2025-05-14,648.0
2025-05-15,676.0
2025-05-16,676.0
2025-05-19,675.0
2025-05-20,663.0
2025-05-21,661.0
2025-05-22,665.0
2025-05-23,665.0
2025-05-26,666.0
2025-05-27,666.0
2025-05-28,655.0
2025-05-29,663.0
2025-06-03,668.0
2025-06-04,688.0
2025-06-05,688.0
2025-06-06,691.0
2025-06-09,686.0
2025-06-10,655.0
2025-06-11,668.0
2025-06-12,678.0
2025-06-13,688.0
2025-06-16,687.0
2025-06-17,714.0
2025-06-18,726.0
2025-06-23,719.0
2025-06-24,681.0
2025-06-25,687.0
2025-06-26,685.0
2025-06-27,677.0
2025-06-30,701.0
2025-07-01,699.0
2025-07-02,700.0
2025-07-03,679.0
2025-07-07,698.0
2025-07-08,704.0
2025-07-09,692.0
2025-07-10,700.0
2025-07-11,717.0
2025-07-15,736.0
2025-07-16,748.0
2025-07-17,770.0
2025-07-18,759.0
2025-07-21,763.0
2025-07-22,775.0
2025-07-23,773.0
2025-07-24,753.0
2025-07-25,734.0
2025-07-28,719.0
2025-07-29,727.0
2025-07-30,716.0
2025-07-31,730.0
2025-08-01,771.0
2025-08-04,761.0
2025-08-05,743.0
2025-08-06,735.0
2025-08-07,728.0
2025-08-08,733.0
2025-08-11,724.0
2025-08-12,722.0
2025-08-13,711.0
2025-08-14,712.0
2025-08-15,709.0
2025-08-18,706.0
2025-08-19,700.0
2025-08-20,747.0
2025-08-21,753.0
2025-08-22,767.0
2025-08-25,829.0
2025-08-26,850.0
2025-08-27,853.0
2025-08-28,837.0
2025-08-29,829.0
2025-09-02,898.0
2025-09-03,893.0
2025-09-04,901.0
2025-09-05,906.0
2025-09-08,1108.0
2025-09-09,1070.0
2025-09-10,1024.0
2025-09-11,1047.0
2025-09-12,1140.0
2025-09-15,1231.0
2025-09-16,1167.0
2025-09-17,1246.0
2025-09-18,1456.0
2025-09-19,1456.0
